title,artist,cover,year,id,hasSleeve
Dreamscape Symphony,Tame Impala,https://storage.googleapis.com/workthisfucker/ALLLRC/LRC0303241133.jpeg,"Pink, green, blue, cool tone",Psychedelic,TRUE
Veil of Luminescence,Radiohead,https://storage.googleapis.com/workthisfucker/ALLLRC/LRC90023.jpeg,"dark, green, black and white, warm",psychedelic,TRUE
City Mashup Dreams,Glass Animals,https://storage.googleapis.com/workthisfucker/ALLLRC/LRCSource364.jpg,"vibrant, colorful",psychedelic,TRUE
Dynamic Athlete 53,Imagine Dragons,https://storage.googleapis.com/workthisfucker/ProcreateFiles/PFBruinsR18.JPG,Vibrant,Adventure,TRUE
Chaotic Vision,Radiohead,https://storage.googleapis.com/workthisfucker/ProcreateFiles/PFBruinsZ19.jpeg,"red, blue, black, white",psychedelic,TRUE
The Fortune Elephant,Tame Elephant,https://storage.googleapis.com/workthisfucker/ProcreateFiles/PFBRUINS8828.jpg,"Vibrant, yellow, blue, black",Psychedelic,TRUE
Vibrant Journeys,Tame Impala,https://storage.googleapis.com/workthisfucker/ALLLRC/LRCSource677.jpg,"vibrant, colorful, yellow, blue, green, purple, red, gold, brown, black, warm",psychedelic,TRUE
Vital Brush Symphony,Graffiti Beats Collective,https://storage.googleapis.com/workthisfucker/ProcreateFiles/PFBruinsR4.jpeg,vibrant,psychedelic,TRUE
Urban Interconnection,Tame Impala,https://storage.googleapis.com/workthisfucker/ALLLRC/LRC99047.jpeg,Colorful,Psychedelic,TRUE
"""Mysteries of the Human Form""",Bon Iver,https://storage.googleapis.com/workthisfucker/ALLLRC/LRCSource85.jpg,black and white,surreal,TRUE
Rhythmic Dreams of Summer,Tame Impala,https://storage.googleapis.com/workthisfucker/ALLLRC/LRCSource421.jpg,"Red, Warm, Vibrant, Neutral",Psychedelic,TRUE
Dreamscape Spectrum,Tame Impala,https://storage.googleapis.com/workthisfucker/ALLLRC/LRC0303241151.jpeg,"vibrant, blue, purple, red, magenta, yellow",psychedelic,TRUE
Shadow Mirage,Tame Impala,https://storage.googleapis.com/workthisfucker/ALLLRC/LRCSource472.jpg,beige pink red warm tone,surreal,TRUE
Dreaming of Winter's Reflection,Sigur Ŕs,https://storage.googleapis.com/workthisfucker/ALLLRC/LRCSource126.jpg,"Cool tone, Blue, Green",Psychedelic,TRUE
Dream in Vibrant Blue,Aurora,https://storage.googleapis.com/workthisfucker/ALLLRC/LRCSource373.jpg,"Vibrant, Colorful, Blue, Purple",Psychedelic,TRUE
"""Nostalgic Whimsy""",Brian Eno,https://storage.googleapis.com/workthisfucker/ALLLRC/LRCSource457.jpg,"blue, yellow, purple",psychedelic,TRUE
Dreamscape Vessel,Tame Impala,https://storage.googleapis.com/workthisfucker/ALLLRC/LRCSource148.jpg,"Blue, Purple, Pink",Psychedelic,TRUE
Reflective Layers of Venice,Tame Impala,https://storage.googleapis.com/workthisfucker/ALLLRC/LRCSource137.jpg,"green, warm, cool tone",surreal,TRUE
Dreamscape Flow,Tame Forest,https://storage.googleapis.com/workthisfucker/ALLLRC/LRCSource436.jpg,"vibrant, green, blue, brown, warm tone",psychedelic,TRUE
Dreamy Abstract Motion,Bon Iver,https://storage.googleapis.com/workthisfucker/ALLLRC/LRCSource423.jpg,"green, blue, brown, cool tone",abstract,TRUE
Ethereal Flow,Tame Impala,https://storage.googleapis.com/workthisfucker/ALLLRC/LRCSource89.jpg,"Dark, Vibrant, Orange, Yellow, Red, Brown",Psychedelic,TRUE
Misty Cemetery Whispers,Bon Iver,https://storage.googleapis.com/workthisfucker/ALLLRC/LRC90024.jpeg,dark,romantic,TRUE
"""Dance of Light Trails""",Brian Eno,https://storage.googleapis.com/workthisfucker/ALLLRC/LRC90030.jpeg,"vibrant, yellow, white, black",psychedelic,TRUE
